QID,title,difficulty,categorySlug,topicTags
98,Validate Binary Search Tree,Medium,algorithms,"tree,depth-first-search,binary-search-tree,binary-tree"
99,Recover Binary Search Tree,Medium,algorithms,"tree,depth-first-search,binary-search-tree,binary-tree"
100,Same Tree,Easy,algorithms,"tree,depth-first-search,breadth-first-search,binary-tree"
101,Symmetric Tree,Easy,algorithms,"tree,depth-first-search,breadth-first-search,binary-tree"
102,Binary Tree Level Order Traversal,Medium,algorithms,"tree,breadth-first-search,binary-tree"
103,Binary Tree Zigzag Level Order Traversal,Medium,algorithms,"tree,breadth-first-search,binary-tree"
104,Maximum Depth of Binary Tree,Easy,algorithms,"tree,depth-first-search,breadth-first-search,binary-tree"
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,algorithms,"array,hash-table,divide-and-conquer,tree,binary-tree"
106,Construct Binary Tree from Inorder and Postorder Traversal,Medium,algorithms,"array,hash-table,divide-and-conquer,tree,binary-tree"
107,Binary Tree Level Order Traversal II,Medium,algorithms,"tree,breadth-first-search,binary-tree"
108,Convert Sorted Array to Binary Search Tree,Easy,algorithms,"array,divide-and-conquer,tree,binary-search-tree,binary-tree"
109,Convert Sorted List to Binary Search Tree,Medium,algorithms,"linked-list,divide-and-conquer,tree,binary-search-tree,binary-tree"
110,Balanced Binary Tree,Easy,algorithms,"tree,depth-first-search,binary-tree"
111,Minimum Depth of Binary Tree,Easy,algorithms,"tree,depth-first-search,breadth-first-search,binary-tree"
112,Path Sum,Easy,algorithms,"tree,depth-first-search,breadth-first-search,binary-tree"
113,Path Sum II,Medium,algorithms,"backtracking,tree,depth-first-search,binary-tree"
114,Flatten Binary Tree to Linked List,Medium,algorithms,"linked-list,stack,tree,depth-first-search,binary-tree"
115,Distinct Subsequences,Hard,algorithms,"string,dynamic-programming"
116,Populating Next Right Pointers in Each Node,Medium,algorithms,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree"
117,Populating Next Right Pointers in Each Node II,Medium,algorithms,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree"
118,Pascal's Triangle,Easy,algorithms,"array,dynamic-programming"
119,Pascal's Triangle II,Easy,algorithms,"array,dynamic-programming"
120,Triangle,Medium,algorithms,"array,dynamic-programming"
121,Best Time to Buy and Sell Stock,Easy,algorithms,"array,dynamic-programming"
122,Best Time to Buy and Sell Stock II,Medium,algorithms,"array,dynamic-programming,greedy"
123,Best Time to Buy and Sell Stock III,Hard,algorithms,"array,dynamic-programming"
124,Binary Tree Maximum Path Sum,Hard,algorithms,"dynamic-programming,tree,depth-first-search,binary-tree"
125,Valid Palindrome,Easy,algorithms,"two-pointers,string"
126,Word Ladder II,Hard,algorithms,"hash-table,string,backtracking,breadth-first-search"
127,Word Ladder,Hard,algorithms,"hash-table,string,breadth-first-search"
128,Longest Consecutive Sequence,Medium,algorithms,"array,hash-table,union-find"
129,Sum Root to Leaf Numbers,Medium,algorithms,"tree,depth-first-search,binary-tree"
130,Surrounded Regions,Medium,algorithms,"array,depth-first-search,breadth-first-search,union-find,matrix"
131,Palindrome Partitioning,Medium,algorithms,"string,dynamic-programming,backtracking"
132,Palindrome Partitioning II,Hard,algorithms,"string,dynamic-programming"
133,Clone Graph,Medium,algorithms,"hash-table,depth-first-search,breadth-first-search,graph"
134,Gas Station,Medium,algorithms,"array,greedy"
135,Candy,Hard,algorithms,"array,greedy"
136,Single Number,Easy,algorithms,"array,bit-manipulation"
137,Single Number II,Medium,algorithms,"array,bit-manipulation"
138,Copy List with Random Pointer,Medium,algorithms,"hash-table,linked-list"
139,Word Break,Medium,algorithms,"array,hash-table,string,dynamic-programming,trie,memoization"
140,Word Break II,Hard,algorithms,"array,hash-table,string,dynamic-programming,backtracking,trie,memoization"
141,Linked List Cycle,Easy,algorithms,"hash-table,linked-list,two-pointers"
142,Linked List Cycle II,Medium,algorithms,"hash-table,linked-list,two-pointers"
143,Reorder List,Medium,algorithms,"linked-list,two-pointers,stack,recursion"
144,Binary Tree Preorder Traversal,Easy,algorithms,"stack,tree,depth-first-search,binary-tree"
145,Binary Tree Postorder Traversal,Easy,algorithms,"stack,tree,depth-first-search,binary-tree"
146,LRU Cache,Medium,algorithms,"hash-table,linked-list,design,doubly-linked-list"
147,Insertion Sort List,Medium,algorithms,"linked-list,sorting"
148,Sort List,Medium,algorithms,"linked-list,two-pointers,divide-and-conquer,sorting,merge-sort"
149,Max Points on a Line,Hard,algorithms,"array,hash-table,math,geometry"
150,Evaluate Reverse Polish Notation,Medium,algorithms,"array,math,stack"
151,Reverse Words in a String,Medium,algorithms,"two-pointers,string"
152,Maximum Product Subarray,Medium,algorithms,"array,dynamic-programming"
153,Find Minimum in Rotated Sorted Array,Medium,algorithms,"array,binary-search"
154,Find Minimum in Rotated Sorted Array II,Hard,algorithms,"array,binary-search"
155,Min Stack,Medium,algorithms,"stack,design"
156,Binary Tree Upside Down,Medium,algorithms,"tree,depth-first-search,binary-tree"
157,Read N Characters Given Read4,Easy,algorithms,"array,simulation,interactive"
158,Read N Characters Given read4 II - Call Multiple Times,Hard,algorithms,"array,simulation,interactive"
159,Longest Substring with At Most Two Distinct Characters,Medium,algorithms,"hash-table,string,sliding-window"
160,Intersection of Two Linked Lists,Easy,algorithms,"hash-table,linked-list,two-pointers"
161,One Edit Distance,Medium,algorithms,"two-pointers,string"
162,Find Peak Element,Medium,algorithms,"array,binary-search"
163,Missing Ranges,Easy,algorithms,array
164,Maximum Gap,Medium,algorithms,"array,sorting,bucket-sort,radix-sort"
165,Compare Version Numbers,Medium,algorithms,"two-pointers,string"
166,Fraction to Recurring Decimal,Medium,algorithms,"hash-table,math,string"
167,Two Sum II - Input Array Is Sorted,Medium,algorithms,"array,two-pointers,binary-search"
168,Excel Sheet Column Title,Easy,algorithms,"math,string"
169,Majority Element,Easy,algorithms,"array,hash-table,divide-and-conquer,sorting,counting"
170,Two Sum III - Data structure design,Easy,algorithms,"array,hash-table,two-pointers,design,data-stream"
171,Excel Sheet Column Number,Easy,algorithms,"math,string"
172,Factorial Trailing Zeroes,Medium,algorithms,math
173,Binary Search Tree Iterator,Medium,algorithms,"stack,tree,design,binary-search-tree,binary-tree,iterator"
174,Dungeon Game,Hard,algorithms,"array,dynamic-programming,matrix"
175,Combine Two Tables,Easy,database,database
176,Second Highest Salary,Medium,database,database
177,Nth Highest Salary,Medium,database,database
178,Rank Scores,Medium,database,database
179,Largest Number,Medium,algorithms,"array,string,greedy,sorting"
180,Consecutive Numbers,Medium,database,database
181,Employees Earning More Than Their Managers,Easy,database,database
182,Duplicate Emails,Easy,database,database
183,Customers Who Never Order,Easy,database,database
184,Department Highest Salary,Medium,database,database
185,Department Top Three Salaries,Hard,database,database
186,Reverse Words in a String II,Medium,algorithms,"two-pointers,string"
187,Repeated DNA Sequences,Medium,algorithms,"hash-table,string,bit-manipulation,sliding-window,rolling-hash,hash-function"
188,Best Time to Buy and Sell Stock IV,Hard,algorithms,"array,dynamic-programming"
189,Rotate Array,Medium,algorithms,"array,math,two-pointers"
190,Reverse Bits,Easy,algorithms,"divide-and-conquer,bit-manipulation"
191,Number of 1 Bits,Easy,algorithms,"divide-and-conquer,bit-manipulation"
192,Word Frequency,Medium,shell,shell
193,Valid Phone Numbers,Easy,shell,shell
194,Transpose File,Medium,shell,shell
195,Tenth Line,Easy,shell,shell
196,Delete Duplicate Emails,Easy,database,database
197,Rising Temperature,Easy,database,database
198,House Robber,Medium,algorithms,"array,dynamic-programming"
199,Binary Tree Right Side View,Medium,algorithms,"tree,depth-first-search,breadth-first-search,binary-tree"
200,Number of Islands,Medium,algorithms,"array,depth-first-search,breadth-first-search,union-find,matrix"
201,Bitwise AND of Numbers Range,Medium,algorithms,bit-manipulation
202,Happy Number,Easy,algorithms,"hash-table,math,two-pointers"
203,Remove Linked List Elements,Easy,algorithms,"linked-list,recursion"
204,Count Primes,Medium,algorithms,"array,math,enumeration,number-theory"
205,Isomorphic Strings,Easy,algorithms,"hash-table,string"
206,Reverse Linked List,Easy,algorithms,"linked-list,recursion"
207,Course Schedule,Medium,algorithms,"depth-first-search,breadth-first-search,graph,topological-sort"
208,Implement Trie (Prefix Tree),Medium,algorithms,"hash-table,string,design,trie"
209,Minimum Size Subarray Sum,Medium,algorithms,"array,binary-search,sliding-window,prefix-sum"
210,Course Schedule II,Medium,algorithms,"depth-first-search,breadth-first-search,graph,topological-sort"
211,Design Add and Search Words Data Structure,Medium,algorithms,"string,depth-first-search,design,trie"
212,Word Search II,Hard,algorithms,"array,string,backtracking,trie,matrix"
213,House Robber II,Medium,algorithms,"array,dynamic-programming"
214,Shortest Palindrome,Hard,algorithms,"string,rolling-hash,string-matching,hash-function"
215,Kth Largest Element in an Array,Medium,algorithms,"array,divide-and-conquer,sorting,heap-priority-queue,quickselect"
216,Combination Sum III,Medium,algorithms,"array,backtracking"
217,Contains Duplicate,Easy,algorithms,"array,hash-table,sorting"
218,The Skyline Problem,Hard,algorithms,"array,divide-and-conquer,binary-indexed-tree,segment-tree,line-sweep,sorting,heap-priority-queue,ordered-set"
219,Contains Duplicate II,Easy,algorithms,"array,hash-table,sliding-window"
220,Contains Duplicate III,Hard,algorithms,"array,sliding-window,sorting,bucket-sort,ordered-set"
221,Maximal Square,Medium,algorithms,"array,dynamic-programming,matrix"
222,Count Complete Tree Nodes,Easy,algorithms,"binary-search,bit-manipulation,tree,binary-tree"
223,Rectangle Area,Medium,algorithms,"math,geometry"
224,Basic Calculator,Hard,algorithms,"math,string,stack,recursion"
225,Implement Stack using Queues,Easy,algorithms,"stack,design,queue"
226,Invert Binary Tree,Easy,algorithms,"tree,depth-first-search,breadth-first-search,binary-tree"
227,Basic Calculator II,Medium,algorithms,"math,string,stack"
228,Summary Ranges,Easy,algorithms,array
229,Majority Element II,Medium,algorithms,"array,hash-table,sorting,counting"
230,Kth Smallest Element in a BST,Medium,algorithms,"tree,depth-first-search,binary-search-tree,binary-tree"
231,Power of Two,Easy,algorithms,"math,bit-manipulation,recursion"
232,Implement Queue using Stacks,Easy,algorithms,"stack,design,queue"
233,Number of Digit One,Hard,algorithms,"math,dynamic-programming,recursion"
234,Palindrome Linked List,Easy,algorithms,"linked-list,two-pointers,stack,recursion"
235,Lowest Common Ancestor of a Binary Search Tree,Medium,algorithms,"tree,depth-first-search,binary-search-tree,binary-tree"
236,Lowest Common Ancestor of a Binary Tree,Medium,algorithms,"tree,depth-first-search,binary-tree"
237,Delete Node in a Linked List,Medium,algorithms,linked-list
238,Product of Array Except Self,Medium,algorithms,"array,prefix-sum"
239,Sliding Window Maximum,Hard,algorithms,"array,queue,sliding-window,heap-priority-queue,monotonic-queue"
240,Search a 2D Matrix II,Medium,algorithms,"array,binary-search,divide-and-conquer,matrix"
241,Different Ways to Add Parentheses,Medium,algorithms,"math,string,dynamic-programming,recursion,memoization"
242,Valid Anagram,Easy,algorithms,"hash-table,string,sorting"
243,Shortest Word Distance,Easy,algorithms,"array,string"
244,Shortest Word Distance II,Medium,algorithms,"array,hash-table,two-pointers,string,design"
245,Shortest Word Distance III,Medium,algorithms,"array,string"
246,Strobogrammatic Number,Easy,algorithms,"hash-table,two-pointers,string"
247,Strobogrammatic Number II,Medium,algorithms,"array,string,recursion"
248,Strobogrammatic Number III,Hard,algorithms,"array,string,recursion"
249,Group Shifted Strings,Medium,algorithms,"array,hash-table,string"
250,Count Univalue Subtrees,Medium,algorithms,"tree,depth-first-search,binary-tree"
251,Flatten 2D Vector,Medium,algorithms,"array,two-pointers,design,iterator"
252,Meeting Rooms,Easy,algorithms,"array,sorting"
253,Meeting Rooms II,Medium,algorithms,"array,two-pointers,greedy,sorting,heap-priority-queue,prefix-sum"
254,Factor Combinations,Medium,algorithms,backtracking
255,Verify Preorder Sequence in Binary Search Tree,Medium,algorithms,"array,stack,tree,binary-search-tree,recursion,monotonic-stack,binary-tree"
256,Paint House,Medium,algorithms,"array,dynamic-programming"
257,Binary Tree Paths,Easy,algorithms,"string,backtracking,tree,depth-first-search,binary-tree"
258,Add Digits,Easy,algorithms,"math,simulation,number-theory"
259,3Sum Smaller,Medium,algorithms,"array,two-pointers,binary-search,sorting"
260,Single Number III,Medium,algorithms,"array,bit-manipulation"
261,Graph Valid Tree,Medium,algorithms,"depth-first-search,breadth-first-search,union-find,graph"
262,Trips and Users,Hard,database,database
263,Ugly Number,Easy,algorithms,math
264,Ugly Number II,Medium,algorithms,"hash-table,math,dynamic-programming,heap-priority-queue"
265,Paint House II,Hard,algorithms,"array,dynamic-programming"
266,Palindrome Permutation,Easy,algorithms,"hash-table,string,bit-manipulation"
267,Palindrome Permutation II,Medium,algorithms,"hash-table,string,backtracking"
268,Missing Number,Easy,algorithms,"array,hash-table,math,binary-search,bit-manipulation,sorting"
269,Alien Dictionary,Hard,algorithms,"array,string,depth-first-search,breadth-first-search,graph,topological-sort"
270,Closest Binary Search Tree Value,Easy,algorithms,"binary-search,tree,depth-first-search,binary-search-tree,binary-tree"
271,Encode and Decode Strings,Medium,algorithms,"array,string,design"
272,Closest Binary Search Tree Value II,Hard,algorithms,"two-pointers,stack,tree,depth-first-search,binary-search-tree,heap-priority-queue,binary-tree"
273,Integer to English Words,Hard,algorithms,"math,string,recursion"
274,H-Index,Medium,algorithms,"array,sorting,counting-sort"
275,H-Index II,Medium,algorithms,"array,binary-search"
276,Paint Fence,Medium,algorithms,dynamic-programming
277,Find the Celebrity,Medium,algorithms,"two-pointers,graph,interactive"
278,First Bad Version,Easy,algorithms,"binary-search,interactive"
279,Perfect Squares,Medium,algorithms,"math,dynamic-programming,breadth-first-search"
280,Wiggle Sort,Medium,algorithms,"array,greedy,sorting"
281,Zigzag Iterator,Medium,algorithms,"array,design,queue,iterator"
282,Expression Add Operators,Hard,algorithms,"math,string,backtracking"
283,Move Zeroes,Easy,algorithms,"array,two-pointers"
284,Peeking Iterator,Medium,algorithms,"array,design,iterator"
285,Inorder Successor in BST,Medium,algorithms,"tree,depth-first-search,binary-search-tree,binary-tree"
286,Walls and Gates,Medium,algorithms,"array,breadth-first-search,matrix"
287,Find the Duplicate Number,Medium,algorithms,"array,two-pointers,binary-search,bit-manipulation"
288,Unique Word Abbreviation,Medium,algorithms,"array,hash-table,string,design"
289,Game of Life,Medium,algorithms,"array,matrix,simulation"
290,Word Pattern,Easy,algorithms,"hash-table,string"
291,Word Pattern II,Medium,algorithms,"hash-table,string,backtracking"
292,Nim Game,Easy,algorithms,"math,brainteaser,game-theory"
293,Flip Game,Easy,algorithms,string
294,Flip Game II,Medium,algorithms,"math,dynamic-programming,backtracking,memoization,game-theory"
295,Find Median from Data Stream,Hard,algorithms,"two-pointers,design,sorting,heap-priority-queue,data-stream"
296,Best Meeting Point,Hard,algorithms,"array,math,sorting,matrix"
297,Serialize and Deserialize Binary Tree,Hard,algorithms,"string,tree,depth-first-search,breadth-first-search,design,binary-tree"
298,Binary Tree Longest Consecutive Sequence,Medium,algorithms,"tree,depth-first-search,binary-tree"
299,Bulls and Cows,Medium,algorithms,"hash-table,string,counting"
300,Longest Increasing Subsequence,Medium,algorithms,"array,binary-search,dynamic-programming"
301,Remove Invalid Parentheses,Hard,algorithms,"string,backtracking,breadth-first-search"
302,Smallest Rectangle Enclosing Black Pixels,Hard,algorithms,"array,binary-search,depth-first-search,breadth-first-search,matrix"
303,Range Sum Query - Immutable,Easy,algorithms,"array,design,prefix-sum"
304,Range Sum Query 2D - Immutable,Medium,algorithms,"array,design,matrix,prefix-sum"
305,Number of Islands II,Hard,algorithms,"array,hash-table,union-find"
306,Additive Number,Medium,algorithms,"string,backtracking"
307,Range Sum Query - Mutable,Medium,algorithms,"array,divide-and-conquer,design,binary-indexed-tree,segment-tree"
308,Range Sum Query 2D - Mutable,Medium,algorithms,"array,design,binary-indexed-tree,segment-tree,matrix"
309,Best Time to Buy and Sell Stock with Cooldown,Medium,algorithms,"array,dynamic-programming"
310,Minimum Height Trees,Medium,algorithms,"depth-first-search,breadth-first-search,graph,topological-sort"
311,Sparse Matrix Multiplication,Medium,algorithms,"array,hash-table,matrix"
312,Burst Balloons,Hard,algorithms,"array,dynamic-programming"
313,Super Ugly Number,Medium,algorithms,"array,math,dynamic-programming"
314,Binary Tree Vertical Order Traversal,Medium,algorithms,"hash-table,tree,depth-first-search,breadth-first-search,sorting,binary-tree"
315,Count of Smaller Numbers After Self,Hard,algorithms,"array,binary-search,divide-and-conquer,binary-indexed-tree,segment-tree,merge-sort,ordered-set"
316,Remove Duplicate Letters,Medium,algorithms,"string,stack,greedy,monotonic-stack"
317,Shortest Distance from All Buildings,Hard,algorithms,"array,breadth-first-search,matrix"
318,Maximum Product of Word Lengths,Medium,algorithms,"array,string,bit-manipulation"
319,Bulb Switcher,Medium,algorithms,"math,brainteaser"
320,Generalized Abbreviation,Medium,algorithms,"string,backtracking,bit-manipulation"
321,Create Maximum Number,Hard,algorithms,"array,two-pointers,stack,greedy,monotonic-stack"
322,Coin Change,Medium,algorithms,"array,dynamic-programming,breadth-first-search"
323,Number of Connected Components in an Undirected Graph,Medium,algorithms,"depth-first-search,breadth-first-search,union-find,graph"
324,Wiggle Sort II,Medium,algorithms,"array,divide-and-conquer,greedy,sorting,quickselect"
325,Maximum Size Subarray Sum Equals k,Medium,algorithms,"array,hash-table,prefix-sum"
326,Power of Three,Easy,algorithms,"math,recursion"
327,Count of Range Sum,Hard,algorithms,"array,binary-search,divide-and-conquer,binary-indexed-tree,segment-tree,merge-sort,ordered-set"
328,Odd Even Linked List,Medium,algorithms,linked-list
329,Longest Increasing Path in a Matrix,Hard,algorithms,"array,dynamic-programming,depth-first-search,breadth-first-search,graph,topological-sort,memoization,matrix"
330,Patching Array,Hard,algorithms,"array,greedy"
331,Verify Preorder Serialization of a Binary Tree,Medium,algorithms,"string,stack,tree,binary-tree"
332,Reconstruct Itinerary,Hard,algorithms,"depth-first-search,graph,eulerian-circuit"
333,Largest BST Subtree,Medium,algorithms,"dynamic-programming,tree,depth-first-search,binary-search-tree,binary-tree"
334,Increasing Triplet Subsequence,Medium,algorithms,"array,greedy"
335,Self Crossing,Hard,algorithms,"array,math,geometry"
336,Palindrome Pairs,Hard,algorithms,"array,hash-table,string,trie"
337,House Robber III,Medium,algorithms,"dynamic-programming,tree,depth-first-search,binary-tree"
338,Counting Bits,Easy,algorithms,"dynamic-programming,bit-manipulation"
339,Nested List Weight Sum,Medium,algorithms,"depth-first-search,breadth-first-search"
340,Longest Substring with At Most K Distinct Characters,Medium,algorithms,"hash-table,string,sliding-window"
341,Flatten Nested List Iterator,Medium,algorithms,"stack,tree,depth-first-search,design,queue,iterator"
342,Power of Four,Easy,algorithms,"math,bit-manipulation,recursion"
343,Integer Break,Medium,algorithms,"math,dynamic-programming"
344,Reverse String,Easy,algorithms,"two-pointers,string"
345,Reverse Vowels of a String,Easy,algorithms,"two-pointers,string"
346,Moving Average from Data Stream,Easy,algorithms,"array,design,queue,data-stream"
347,Top K Frequent Elements,Medium,algorithms,"array,hash-table,divide-and-conquer,sorting,heap-priority-queue,bucket-sort,counting,quickselect"
348,Design Tic-Tac-Toe,Medium,algorithms,"array,hash-table,design,matrix,simulation"
349,Intersection of Two Arrays,Easy,algorithms,"array,hash-table,two-pointers,binary-search,sorting"
350,Intersection of Two Arrays II,Easy,algorithms,"array,hash-table,two-pointers,binary-search,sorting"
351,Android Unlock Patterns,Medium,algorithms,"dynamic-programming,backtracking,bit-manipulation,bitmask"
352,Data Stream as Disjoint Intervals,Hard,algorithms,"hash-table,binary-search,union-find,design,data-stream,ordered-set"
353,Design Snake Game,Medium,algorithms,"array,hash-table,design,queue,simulation"
354,Russian Doll Envelopes,Hard,algorithms,"array,binary-search,dynamic-programming,sorting"
355,Design Twitter,Medium,algorithms,"hash-table,linked-list,design,heap-priority-queue"
356,Line Reflection,Medium,algorithms,"array,hash-table,math"
357,Count Numbers with Unique Digits,Medium,algorithms,"math,dynamic-programming,backtracking"
358,Rearrange String k Distance Apart,Hard,algorithms,"hash-table,string,greedy,sorting,heap-priority-queue,counting"
359,Logger Rate Limiter,Easy,algorithms,"hash-table,design,data-stream"
360,Sort Transformed Array,Medium,algorithms,"array,math,two-pointers,sorting"
361,Bomb Enemy,Medium,algorithms,"array,dynamic-programming,matrix"
362,Design Hit Counter,Medium,algorithms,"array,binary-search,design,queue,data-stream"
363,Max Sum of Rectangle No Larger Than K,Hard,algorithms,"array,binary-search,matrix,prefix-sum,ordered-set"
364,Nested List Weight Sum II,Medium,algorithms,"stack,depth-first-search,breadth-first-search"
365,Water and Jug Problem,Medium,algorithms,"math,depth-first-search,breadth-first-search"
366,Find Leaves of Binary Tree,Medium,algorithms,"tree,depth-first-search,binary-tree"
367,Valid Perfect Square,Easy,algorithms,"math,binary-search"
368,Largest Divisible Subset,Medium,algorithms,"array,math,dynamic-programming,sorting"
369,Plus One Linked List,Medium,algorithms,"linked-list,math"
370,Range Addition,Medium,algorithms,"array,prefix-sum"
371,Sum of Two Integers,Medium,algorithms,"math,bit-manipulation"
372,Super Pow,Medium,algorithms,"math,divide-and-conquer"
373,Find K Pairs with Smallest Sums,Medium,algorithms,"array,heap-priority-queue"
374,Guess Number Higher or Lower,Easy,algorithms,"binary-search,interactive"
375,Guess Number Higher or Lower II,Medium,algorithms,"math,dynamic-programming,game-theory"
376,Wiggle Subsequence,Medium,algorithms,"array,dynamic-programming,greedy"
377,Combination Sum IV,Medium,algorithms,"array,dynamic-programming"
